Package Name,Reviewer name,Review,Rating
com.evanhe.dnsforward,Glenn F,"Not only does it not work, but turning it on in the app turns it off in the notification bar and turning it off in the app turns it on in the notifications. How can one make such an elementary mistake and release the app?",1
com.evanhe.dnsforward,ラーメン大好き,Works just fine :) would love to set a DNS1 and alternative DNS2 and also add profiles.,5
com.evanhe.dnsforward,Handi Lim,Here it is your truly deserved 5 stars!!!,5
com.evanhe.dnsforward,Rizka M Nur,Yeaaaah \m/,5
com.evanhe.dnsforward,Rio Andreanto,Good application,5
com.evanhe.dnsforward,A Google user,"excellent apps , work in lenovo a316i with dnscrypt :D.",5
com.evanhe.dnsforward,A Google user,Only app to change mobile DNS on 4.4+,5
com.evanhe.dnsforward,Winfred Santos,Nice workaround,5
com.evanhe.dnsforward,guruh yudhian,Good job... i love you gaees... hahahaa... nyepep again,5
com.evanhe.dnsforward,Febri Pradityo,Good job!,5
com.evanhe.dnsforward,Soffan Nurrokhman T,Mantep coyyy..,5
com.evanhe.dnsforward,Radian Prabowo,"Magnificient, trully works.",4
com.evanhe.dnsforward,Meko Setiadhy,Works even on kitkat 4.4,5
com.evanhe.dnsforward,Matthew Kokidko,Excellent app. By far the best I've seen for kitkat devices. Excellent response by developer via email as well.,5
com.evanhe.dnsforward,Andy Kanjaya,"Great apps,full functionality for 4.4, magnificent sir!",5
com.evanhe.dnsforward,Mark Samuelson,Add option for custom dns and you get 5 stars,4
com.evanhe.dnsforward,ฮาน strato,"Champion!!!,,,, please add more speedy fast dns,,,, will continue to rate high as possibly could, great work dev,,,,",5
com.evanhe.dnsforward,Jeremy Chan,"Stars? Here's 5 for you, my friend.",5
com.evanhe.dnsforward,Ryan anto,Thks sir.!!!!!,5
com.evanhe.dnsforward,Evan He,"It works like a charm on my nexus 5. Don't know why changing dns settings was  limited on Kitkat, but I really need this app.",5
com.burakgon.dnschanger,M762,"de in mign brname pingm daskele. gaime ms60,45.80.....ast",5
com.burakgon.dnschanger,Bob Wilkins,"Congratulations! You've ruined the app. The terrible ad placement makes this app unusable. Was once very good, now 💩",1
com.burakgon.dnschanger,PJ Freeborn,Still working like a champ!,5
com.burakgon.dnschanger,Nosir Khan,Private VNS,5
com.burakgon.dnschanger,Arindam Halder,Good,5
com.burakgon.dnschanger,Puja Barman,Amit 😍😍😍😍😍,5
com.burakgon.dnschanger,Aminreza Ebrahimi,عالی,5
com.burakgon.dnschanger,sagad dast,Perfect,5
com.burakgon.dnschanger,Irfan Moahbbs,Goood,5
com.burakgon.dnschanger,محمدرضا غفاری,❤💚🙌,5
com.burakgon.dnschanger,Prince Sluch,WOW!!!.....The very best DNS CHANGER... Go for it.,5
com.burakgon.dnschanger,Imanuel Paing,Good DNS Changer..👍,5
com.burakgon.dnschanger,حسن احمدی,Ok,5
com.burakgon.dnschanger,Deepika Lakra,Op app,5
com.burakgon.dnschanger,Ralph edding,Great,5
com.burakgon.dnschanger,بهبود محمودی,OK very good,5
com.burakgon.dnschanger,Antik Paul,Nice..,5
com.burakgon.dnschanger,A Google user,Op,2
com.burakgon.dnschanger,Pyruz Pyruzy,Prfect and easy to use .,5
com.burakgon.dnschanger,Himanshu Thakur,Op,3
com.burakgon.dnschanger,Arin War,سسس,5
com.burakgon.dnschanger,Mohit Rohit,NICE APP,5
com.burakgon.dnschanger,جاوید احمدی,عالی,5
com.burakgon.dnschanger,Ibrahim Faisal,It's really deos the work,5
com.burakgon.dnschanger,Don't Check My About Too,"Hello BGN Mobi, Thank you for creating this app to boost my internet's speed!🤩 It boosted my internet connection and unblocked BLOCKED WEBS🚫. All i can say for this Dns Changer, Is i love it! i totally recommend for people who have slow Internet, but sometimes, it may not happen the way you expected like it will make your internet Mbps20 into Mbps40. Its not like that, it just connects to the best DNS cuz automatic DNS makes it slower than Manual DNS imma give this 4.7! btw this is not bot.",5
com.burakgon.dnschanger,DESTALEMM ALEM,nice,5
com.burakgon.dnschanger,Dafid Muslim Mulya,Awesome 👍,5
com.burakgon.dnschanger,Arash Fayzi,عالیه من پین ۳۴۳ بود الا ۱۳۰ هست,5
com.burakgon.dnschanger,EasyGo,So great 👍,5
com.burakgon.dnschanger,mohammad mirdadyan77,Gg,5
com.burakgon.dnschanger,asmaeel asee,خوب,5
com.burakgon.dnschanger,N. Vishal,Nice op,4
com.burakgon.dnschanger,Amo Mory,Nice,5
com.burakgon.dnschanger,AliReza Amiri,Very nice thank you so much,5
com.burakgon.dnschanger,nbg glaze,Good,4
com.burakgon.dnschanger,Kham khua Khai,Best vpn,5
com.burakgon.dnschanger,NB Najafi,Nice dns,5
com.burakgon.dnschanger,Rishi Singh,Not god but ok,4
com.burakgon.dnschanger,Adnan Hussain,Good,5
com.burakgon.dnschanger,AGHIL Khorahe,Nice,5
com.burakgon.dnschanger,Amir Amiri,love,5
com.burakgon.dnschanger,Kavya Purohit,It is very good app for Android,1
com.burakgon.dnschanger,Mg Hnin Wai mg hnin wai,Mr. HNIN WAI,5
com.burakgon.dnschanger,Brian Ross,Works!,4
com.burakgon.dnschanger,Alphonsus Thomas,Good,1
com.burakgon.dnschanger,Salar Berman,عالی,5
com.burakgon.dnschanger,Crystal Lopes,Only 4 stars because it asks constantly for a rating every time it opens and also solicited for the other applications each time I use as well. So four stars and now maybe I can get back to what I was doing. Mahalo.,4
com.burakgon.dnschanger,Riju Roy,MIGHT BE IMPROVED ON ADS,4
com.burakgon.dnschanger,Taha Asadi,Gooooooooood,5
com.burakgon.dnschanger,Rob Jr,Cool,4
com.burakgon.dnschanger,mahdi maserat,Okay 👌,5
com.burakgon.dnschanger,Mumu Naw,good,5
com.burakgon.dnschanger,Muhammad Thaqief Muzhaffar,Nice apps,5
com.burakgon.dnschanger,Soheil Saberian,Very good dns,5
com.burakgon.dnschanger,anand anand,Trash,4
com.burakgon.dnschanger,Zenon Yuno,Good,5
com.burakgon.dnschanger,Pramod Kushwha,Mara free fire ka sara ya he ha👩‍🎓😇😇😇,5
com.burakgon.dnschanger,Aparichit,You have to watch a video every time you want to speed test servers. There are many better alternatives to this app who don't waste your time just for connecting.,1
com.burakgon.dnschanger,TANMAY GHANEKAR,Ok,1
com.burakgon.dnschanger,sina Shirzad,Khobe,5
com.burakgon.dnschanger,Akhliesh Kumar,Ufi,3
com.burakgon.dnschanger,Gaming ARMY YT,Amazing,4
com.burakgon.dnschanger,TEVIN JAMES,Good app,5
