Package Name,Reviewer name,Review,Rating
com.mggames.dotsnbox,Kerry Fisher,"I grew up playing 'Connect the Dots' and still enjoy it BUT the computer is so fast you don't have a chance to see where it put its line. I spend alot of time looking for the new line. The fact that the lines are peach and pink doesn't help. Whoever came up with those 2 colors should be fired! Not color friendly for older eyes. Also, while connecting the dots making the boxes, the computer sometimes takes over and claims the boxes before I finished.",4
com.mggames.dotsnbox,Faiza khan,"Dots and boxes game is very amazing game it is,very useful game l like it very much this game",5
com.mggames.dotsnbox,Chris Dougherty,It doesn't register your actual placement. Very annoying,1
com.mggames.dotsnbox,Nagesh Kopallay,No consistency. Colours changes as they like,1
com.mggames.dotsnbox,Bushra Parveen,Good,5
com.mggames.dotsnbox,Jason Griffin,SO FUN ME AND MY DAD PLAY ALL THE TIME 😁,5
com.mggames.dotsnbox,jasmeet SINGH MATHARU,Bakwaas,1
com.mggames.dotsnbox,Saad Chhipa,This game was very nice and amazing,2
com.mggames.dotsnbox,Sajini Sreeju,Worst game😠😠😠 they are cheating,1
com.mggames.dotsnbox,Carl aaron,Becouse this game have a cheat when I am play I'm not winner every I play this VS COMPUTER,1
com.mggames.dotsnbox,ANEETA DEVI,Really amazing hame,5
com.mggames.dotsnbox,Akash Narayanan,Its always letting the player to make the 1st move. I know the loopholes in this game in real life itself. The player who 1st plays will has to put the closing 3rd line of box letting the opponent to score in the end. It should let the player make the 2nd move in pc mode. Also it is not going online game,1
com.mggames.dotsnbox,Black magic,Haha! i enjoyed it so much,5
com.mggames.dotsnbox,Addison McBeain,i personally dont like it,1
com.mggames.dotsnbox,NIHAR RANJAN,"Online multiplayer option never works , the app exit button never works , how can be so much glitch in a single app . Otherwise okay okay game , didn't have a great experience",2
com.mggames.dotsnbox,Sharifa Daruger,Amazing,5
com.mggames.dotsnbox,Jai Saketh,I am giving 4 because the hardest level in this is not that hard,4
com.mggames.dotsnbox,Mujahid Farooq,No control to draw lines vertically or horizontally. Whenever I draw it goes wrong,3
com.mggames.dotsnbox,Anusree Ghosh,puro guuu er moto 🙂,1
com.mggames.dotsnbox,Luke Baker,Great fun with friends,5
com.mggames.dotsnbox,Mithulal Notani,Good,5
com.mggames.dotsnbox,Geet Patel,I had never played this type of game I like it and my family alsi,5
com.mggames.dotsnbox,Prachi Vaste,"Amazing game with multiple options like grid selection single player, multiplayer,online. Won by android twice means no bots are there, it's all abt using right technique then one wins easily. Nice game!!",4
com.mggames.dotsnbox,Pranavi Kodali,Excellent game,5
com.mggames.dotsnbox,Omer Mahmutovic,Easy misstakes as in wrong lines needs to be more precise or confirm move. Game was done quickly and poorly.,1
com.mggames.dotsnbox,Samuel Guevara,"A horrible game, the only way you can win on expert is if the ai make a mistake, and it never makes a mistake, as long as you're forced to go first, which you are, you'll lose",1
com.mggames.dotsnbox,Suresh k Malik,best dots game available,5
com.mggames.dotsnbox,Jaydevi Langute,Wow,3
com.mggames.dotsnbox,Risi Pal,good timepass katta app...,5
